PWSID,Water System Name, Population , Service Connections , Median Household Income , Water Bill ,Hours of Minimum Wage,Governance Type,Leadership Mechanism,Upcoming Election,GoverningBody, Average Governing Body Compensation ,Leadership Pop_Asian,Leadership Pop_Black,Leadership Pop_Hispanic,Leadership Pop_NA,Leadership Pop_TwoOrMore,Leadership Pop_White,Required Operator,Highest Operator On Staff,RiskScore,Water Quality Violations 2015-2019,Primary Water Source,Water System Website,CCR
CA1910248,LOS ANGELES CWWD 37-ACTON,"6,572","1,424",   No MHI Data   ,$36.60 ,3,County,Appointment,No data,LA County Board of Supervisors,"$214,601 ",0,1,1,0,0,3,T2,T3,Not At-Risk,0,SWP,https://dpw.lacounty.gov/wwd/web/YourWater/WaterSources.aspx,https://drinc.ca.gov/ear/CCR/CCR2019CA1910248.pdf
CA1910203,"LOS ANGELES CWWD 40, R 24,27,33-PEARBLSM","10,725","2,831",   No MHI Data   ,$37.55 ,3,County,Appointment,No data,LA County Board of Supervisors,"$214,601 ",0,1,1,0,0,3,T2,T3,Not At-Risk,0,SWP,https://dpw.lacounty.gov/wwd/web/YourWater/WaterSources.aspx,https://drinc.ca.gov/ear/CCR/CCR2019CA1910203.pdf
CA1910143,"SAN FERNANDO-CITY, WATER DEPT.","24,322","5,183","$62,014 ",$37.73 ,3,City/Municipal,Municipal Election,No data,City Council,"$8,760 ",0,0,5,0,0,0,D3,T2,Not In Risk Assessment,0,GW,https://ci.san-fernando.ca.us/utilities/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910143.pdf
CA1910086,MAYWOOD MUTUAL WATER CO. #3,"9,500","2,014","$46,446 ",$40.50 ,3,Mutual Water Company,No Data,No data,Board of Directors,"$43,825 ",0,0,0,0,0,5,D2,T2,Not At-Risk,0,SWP,https://www.maywoodmutualwatercompanyno3.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910086.pdf
CA1910085,MAYWOOD MUTUAL WATER CO. #2,"7,118","1,924","$44,715 ",$40.86 ,3,Mutual Water Company,No Data,No data,Board of Directors/ Officers,"$10,190 ",0,0,5,0,0,0,T2,T2,Not At-Risk,0,SWP,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2554&tinwsys_st_code=CA&wsnumber=CA1910085,https://ear.waterboards.ca.gov/Home/ViewCCR?PwsID=CA1910085&Year=2021&isCert=false
CA1910125,PICO WD,"25,284","5,490","$64,398 ",$42.01 ,3,Special District,Municipal Election,No data,Board of Directors,"$7,860 ",0,0,5,0,0,0,Any Level,T3,Not In Risk Assessment,0,GW,https://www.pico-rivera.org/depts/finance/water.asp,https://drinc.ca.gov/ear/CCR/CCR2019CA1910125.pdf
CA1910126,"POMONA - CITY, WATER DEPT.","152,361","30,041","$61,806 ",$42.23 ,3,City/Municipal,Municipal Election,No data,City Council,"$11,232 ",0,0,6,0,0,1,T5,T5,Not In Risk Assessment,0,SW,https://www.pomonaca.gov/government/departments/water-resources-department?locale=en,https://drinc.ca.gov/ear/CCR/CCR2019CA1910126.pdf
CA1910149,"SIGNAL HILL - CITY, WATER DEPT.","11,795","3,052","$77,755 ",$42.37 ,3,City/Municipal,Municipal Election,No data,City Council,"$8,009 ",0,2,0,0,0,3,T2,T3,Not At-Risk,0,SWP,https://www.cityofsignalhill.org/22/Water,https://drinc.ca.gov/ear/CCR/CCR2019CA1910149.pdf
CA1910038,"EL MONTE-CITY, WATER DEPT.","22,968","3,485","$47,949 ",$42.72 ,3,City/Municipal,Municipal Election,No data,City Council,"$7,980 ",0,0,5,0,0,0,T2,T3,Not In Risk Assessment,0,GW,https://www.ci.el-monte.ca.us/325/Water-Department,https://drinc.ca.gov/ear/CCR/CCR2018CA1910038.pdf
CA1910239,"LAKEWOOD - CITY, WATER DEPT.","62,895","20,041","$98,049 ",$43.85 ,3,City/Municipal,Municipal Election,2022,City Council,"$19,788 ",1,0,0,0,0,4,T2,T5,Not In Risk Assessment,0,GW,https://www.lakewoodcity.org/Residents/Water-Service-Resources,https://drinc.ca.gov/ear/CCR/CCR2019CA1910239.pdf
CA1910013,BELLFLOWER - SOMERSET MWC,"46,300","7,058","$56,114 ",$44.35 ,3,Mutual Water Company,Stakeholder Election,No data,Board of Directors/ Officers,"$9,807 ",1,0,0,0,0,4,T1,T3,Not In Risk Assessment,0,SWP,https://bsmwc.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910013.pdf
CA1910157,SUNNY SLOPE WATER CO.,"30,700","6,262","$83,800 ",$44.55 ,3,Mutual Water Company,Stakeholder Election,No data,Board of Directors,"$8,367 ",0,0,0,0,0,0,T2,T3,Not In Risk Assessment,0,GW,http://www.sunnyslopewatercompany.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910157.pdf
CA1910017,SANTA CLARITA VALLEY W.A.-SANTA CLARITA,"129,744","31,754","$95,998 ",$45.28 ,3,Special District,Municipal Election,No data,Board of Directors,"$15,962 ",0,0,0,0,0,12,T2,T2,Not In Risk Assessment,0,SWP,https://yourscvwater.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910017.pdf
CA1910247,SANTA CLARITA VALLEY W.A.-CASTAIC DIV.,"6,300","1,909","$107,352 ",$45.28 ,3,Special District,Municipal Election,No data,Board of Directors,"$15,962 ",0,0,0,0,0,12,T2,T3,Not At-Risk,0,SWP,https://yourscvwater.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910247.pdf
CA1910130,QUARTZ HILL WATER DIST.,"20,352","5,768","$81,503 ",$46.18 ,4,Special District,Municipal Election,No data,Board of Directors,$980 ,0,1,0,0,0,4,T2,T2,Not In Risk Assessment,0,SWP,https://www.qhwd.org/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910130.pdf
CA1910144,SAN GABRIEL COUNTY WD,"45,000","9,264","$64,499 ",$46.38 ,4,Special District,Municipal Election,No data,Board of Directors,"$2,200 ",0,0,0,0,0,0,Any Level,T3,Not In Risk Assessment,0,GW,http://sgcwd.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910144.pdf
CA1910169,WALNUT PARK MUTUAL WATER CO.,"16,180","2,832","$54,321 ",$47.80 ,4,Mutual Water Company,No Data,No data,Board of Directors,"$8,160 ",0,0,2,0,0,3,Any Level,T2,Not At-Risk,0,GW,http://wpmwc.org/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910169.pdf
CA1910081,LYNWOOD PARK MUTUAL WATER CO.,"2,300",470,"$51,024 ",$48.60 ,4,Mutual Water Company,No Data,No data,N/A,  No Compensation Data  ,0,0,0,0,0,0,NA,NA,At-Risk,1,GW,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2551&tinwsys_st_code=CA&wsnumber=CA1910081,https://drinc.ca.gov/ear/CCR/CCR2018CA1910081.pdf
CA1910091,MONTEBELLO LAND & WATER CO.,"26,554","3,971","$50,786 ",$48.63 ,4,Mutual Water Company,No Data,No data,N/A,  No Compensation Data  ,0,0,0,0,0,0,T2,T2,Not In Risk Assessment,0,GW,https://www.mtblw.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910091.pdf
CA1910250,SANTA CLARITA VALLEY W.A.-PINETREE DIV.,"9,095","2,756","$120,096 ",$49.44 ,4,Special District,No Data,No data,Board of Directors,"$15,962 ",0,0,0,0,0,12,Any Level,T3,Not At-Risk,0,SWP,https://yourscvwater.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910250.pdf
CA1910255,SANTA CLARITA VALLEY W.A.-TESORO DIV.,"3,818","1,157","$127,535 ",$49.44 ,4,Special District,Municipal Election,No data,Board of Directors,"$15,962 ",0,0,0,0,0,12,None,T3,Not At-Risk,0,SWP,https://yourscvwater.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910255.pdf
CA1910096,SANTA CLARITA VALLEY W.A.-NEWHALL DIV.,"12,474","3,780",   No MHI Data   ,$49.44 ,4,Special District,Municipal Election,No data,Board of Directors,"$15,962 ",0,0,0,0,0,12,Any Level,T3,Not In Risk Assessment,0,SWP,https://yourscvwater.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910096.pdf
CA1910146,"SANTA MONICA-CITY, WATER DIVISION","91,411","16,966","$102,933 ",$49.88 ,4,City/Municipal,Municipal Election,No data,City Council,"$15,034 ",0,0,1,0,0,6,T4,T4,Not In Risk Assessment,0,SWP,https://www.smgov.net/departments/publicworks/water.aspx,https://drinc.ca.gov/ear/CCR/CCR2019CA1910146.pdf
CA1910040,"EL SEGUNDO-CITY, WATER DEPT.","16,719","4,640","$111,014 ",$49.96 ,4,City/Municipal,Municipal Election,2022,City Council,"$10,800 ",0,0,0,0,0,5,None,T2,Not In Risk Assessment,0,SWP,https://www.elsegundo.org/government/departments/public-works/water,https://drinc.ca.gov/ear/CCR/CCR2019CA1910040.pdf
CA1910245,"SANTA FE SPRINGS - CITY, WATER DEPT.","18,533","6,788","$68,304 ",$50.44 ,4,City/Municipal,Municipal Election,No data,City Council,"$11,650 ",0,0,3,0,0,2,Any Level,T3,Not In Risk Assessment,0,SWP,https://www.santafesprings.org/cityhall/public_works/water_utility_authority/default.asp,https://drinc.ca.gov/ear/CCR/CCR2019CA1910245.pdf
CA1910163,VALENCIA HEIGHTS WATER CO.,"7,775","1,677","$98,371 ",$50.78 ,4,Mutual Water Company,No Data,No data,Board of Directors,"$3,493 ",0,1,1,0,0,5,T2,T3,Not At-Risk,0,SWP,https://vhwc.org/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910163.pdf
CA1910020,EAST PASADENA WATER CO.,"9,860","2,988","$72,422 ",$51.52 ,4,Investor Owned Utility,No Data,No data,N/A,  No Compensation Data  ,0,0,0,0,0,0,Any Level,T3,Not At-Risk,1,GW,https://epwater.com/,https://sdwis.waterboards.ca.gov/PDWW/
CA1910179,"BURBANK-CITY, WATER DEPT.","105,952","25,762","$81,421 ",$52.09 ,4,City/Municipal,Municipal Election,No data,City Council,"$23,468 ",0,0,1,0,0,4,T3,T4,Not In Risk Assessment,0,SWP,https://www.burbankwaterandpower.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910179.pdf
CA1910159,TRACT 180 MUTUAL WATER CO.,"14,000","1,184","$47,057 ",$52.48 ,4,Mutual Water Company,No Data,No data,Board of Directors,"$30,817 ",0,0,4,0,0,1,Any Level,T2,Not At-Risk,1,GW,https://www.tract180water.com/mobile/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910159.pdf
CA1910200,SUBURBAN WATER SYSTEMS-COVINA KNOLLS,"2,010",485,"$81,226 ",$52.81 ,4,Investor Owned Utility,No Data,No data,Board of Directors,  No Compensation Data  ,1,2,0,0,0,5,None,T4,Not At-Risk,0,SWP,https://www.swwc.com/suburban/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910200.pdf
CA1910205,SUBURBAN WATER SYSTEMS-SAN JOSE,"171,182","40,470","$82,755 ",$52.81 ,4,Investor Owned Utility,No Data,No data,Board of Directors,  No Compensation Data  ,1,2,0,0,0,5,T4,T4,Not In Risk Assessment,0,SWP,https://www.swwc.com/suburban/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910205.pdf
CA1910046,SUBURBAN WATER SYSTEMS-GLENDORA,"6,543","1,558","$91,697 ",$52.81 ,4,Investor Owned Utility,No Data,No data,Board of Directors,  No Compensation Data  ,1,2,0,0,0,5,None,T2,Not At-Risk,0,SWP,https://www.swwc.com/suburban/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910046.pdf
CA1910065,"LONG BEACH-CITY, WATER DEPT.","475,013","88,503","$65,378 ",$53.49 ,4,City/Municipal,Municipal Election,2022,City Council,"$51,073 ",0,3,4,0,0,3,T5,T5,Not In Risk Assessment,0,SWP,https://lbwater.org/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910065.pdf
CA1910139,CAL/AM WATER COMPANY - SAN MARINO,"46,464","14,080","$88,642 ",$54.91 ,4,Investor Owned Utility,Stakeholder Election,2022,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,T3,T4,Not In Risk Assessment,0,SWP,https://www.amwater.com/caaw/water-quality/water-quality-reports/san-marino,https://drinc.ca.gov/ear/CCR/CCR2019CA1910139.pdf
CA1910213,"TORRANCE-CITY, WATER DEPT.","108,217","26,226","$95,245 ",$55.02 ,4,City/Municipal,Municipal Election,No data,City Council,"$1,200 ",1,0,0,0,0,6,T2,T2,Not In Risk Assessment,0,SWP,https://www.torranceca.gov/our-city/public-works/water-services,https://drinc.ca.gov/ear/CCR/CCR2019CA1910213.pdf
CA1910102,PALMDALE WATER DIST.,"115,525","26,784","$55,452 ",$55.71 ,4,Special District,Municipal Election,No data,Board of Directors,"$11,490 ",0,0,1,0,0,4,T5,T5,Not In Risk Assessment,0,SW,https://www.palmdalewater.org/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910102.pdf
CA1910062,"LA VERNE, CITY WD","32,206","8,794","$90,610 ",$56.08 ,4,City/Municipal,Municipal Election,2022,City Council,"$6,228 ",0,0,1,0,0,4,T3,T3,Not In Risk Assessment,2,SWP,https://www.cityoflaverne.org/index.php/departments/public-works/water-sewer-maintenance,https://drinc.ca.gov/ear/CCR/CCR2019CA1910062.pdf
CA1910018,BELLFLOWER MUNICIPAL WATER SYSTEM,"5,967","1,826","$68,527 ",$56.13 ,4,City/Municipal,Municipal Election,No data,"City Council

","$17,634 ",2,0,0,0,0,3,None,T3,Not At-Risk,0,SWP,https://www.bellflower.org/departments/municipal_water_system/index.php,https://drinc.ca.gov/ear/CCR/CCR2019CA1910018.pdf
CA1910185,LOS ANGELES CWWD 36-VAL VERDE,"5,181","1,356",   No MHI Data   ,$56.15 ,4,County,Appointment,No data,LA County Board of Supervisors,"$214,601 ",0,1,1,0,0,3,None,T3,Not At-Risk,0,SWP,https://dpw.lacounty.gov/wwd/web/YourWater/WaterSources.aspx,https://drinc.ca.gov/ear/CCR/CCR2019CA1910185.pdf
CA1910124,"PASADENA-CITY, WATER DEPT.","168,651","36,448","$87,963 ",$56.69 ,4,City/Municipal,Municipal Election,No data,City Council,"$19,713 ",0,2,2,0,0,4,T4,T4,Not In Risk Assessment,0,SWP,https://ww5.cityofpasadena.net/water-and-power/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910124.pdf
CA1910042,"PICO RIVERA - CITY, WATER DEPT.","40,702","9,433","$67,754 ",$57.15 ,4,City/Municipal,Municipal Election,2022,City Council,"$9,866 ",0,0,5,0,0,0,Any Level,T2,Not In Risk Assessment,0,GW,http://www.pico-rivera.org/default.asp,https://drinc.ca.gov/ear/CCR/CCR2019CA1910042.pdf
CA1910059,SUBURBAN WATER SYSTEMS-LA MIRADA,"55,223","13,621","$91,012 ",$58.44 ,4,Investor Owned Utility,No Data,No data,Board of Directors,  No Compensation Data  ,1,2,0,0,0,5,T2,T4,Not In Risk Assessment,0,GW,https://www.swwc.com/suburban/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910059.pdf
CA1910174,SUBURBAN WATER SYSTEMS-WHITTIER,"64,489","19,842","$88,264 ",$58.44 ,4,Investor Owned Utility,No Data,No data,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,Any Level,T4,Not In Risk Assessment,0,SW,https://www.swwc.com/suburban/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910174.pdf
CA1910103,PALM RANCH IRRIGATION DIST.,"5,564","1,692","$92,970 ",$58.89 ,4,Irrigation District,No Data,No data,Board of Directors,"$2,120 ",0,0,0,0,0,0,T2,T2,Not At-Risk,0,SWP,https://www.palmranchid.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910103.pdf
CA1910090,"MONROVIA-CITY, WATER DEPT.","38,787","10,245","$80,017 ",$59.13 ,4,City/Municipal,Municipal Election,No data,City Council,"$4,800 ",0,1,0,0,0,4,T3,T3,Not In Risk Assessment,0,GW,https://www.cityofmonrovia.org/your-government/administrative-services/municipal-utility-services,https://drinc.ca.gov/ear/CCR/CCR2019CA1910090.pdf
CA1910234,WALNUT VALLEY WATER DISTRICT,"105,495","27,100","$94,791 ",$59.78 ,4,Special District,Municipal Election,No data,Board of Directors,"$8,826 ",3,0,0,0,0,2,None,T2,Not In Risk Assessment,0,SWP,https://www.wvwd.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910234.pdf
CA1910218,LA HABRA HEIGHTS CWD,"5,459","1,988","$117,830 ",$60.28 ,4,Special District,Municipal Election,No data,Board of Directors,"$1,140 ",0,0,0,0,0,5,None,T3,Not At-Risk,0,SWP,http://www.lhhcwd.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910218.pdf
CA1910084,MAYWOOD MUTUAL WATER CO. #1,"5,500","1,163","$47,367 ",$60.90 ,5,Mutual Water Company,No Data,No data,Board of Directors,"$18,640 ",0,0,3,0,0,2,D2,T2,Not At-Risk,0,SWP,https://www.maywoodmutualwater.com/home/,https://drinc.ca.gov/ear/CCR/CCR2018CA1910084.pdf
CA1900936,AQUA J. MUTUAL WATER COMPANY,165,51,"$49,625 ",$61.00 ,4,Mutual Water Company,No Data,No data,Officers,  No Compensation Data  ,0,0,0,0,0,0,None,None,At-Risk,0,GW,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2418&tinwsys_st_code=CA&wsnumber=CA1900936,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2418&tinwsys_st_code=CA&wsnumber=CA1900936
CA1910140,RUBIO CANON LAND & WATER ASSOCIATION,"9,600","3,128","$109,509 ",$62.95 ,5,Mutual Water Company,No Data,No data,Board of Directors,"$2,960 ",0,0,0,0,0,0,T3,T3,At-Risk,0,SW,https://rclwa.org/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910140.pdf
CA1910056,LAKE ELIZABETH MUTUAL WATER CO.,"1,790",724,"$104,172 ",$63.00 ,5,Mutual Water Company,No Data,No data,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,T2,T3,Not At-Risk,1,SWP,http://www.lakeelizabethwater.com/,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2534&tinwsys_st_code=CA&wsnumber=CA1910056
CA1910153,SOUTH MONTEBELLO IRRIGATION DIST.,"7,851","2,372","$55,943 ",$63.22 ,5,Irrigation District,Municipal Election,No data,Board of Directors,"$2,217 ",1,0,0,0,0,2,T2,T2,Not At-Risk,0,GW,https://smid.specialdistrict.org/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910153.pdf
CA1910101,ORCHARD DALE WATER DISTRICT,"25,000","4,311","$76,990 ",$63.28 ,5,Special District,Municipal Election,No data,Board of Directors,"$18,486 ",0,0,4,0,0,1,T2,T3,Not In Risk Assessment,0,GWP,https://www.odwd.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910101.pdf
CA1900803,EL DORADO MUTUAL WATER CO.,660,237,"$110,686 ",$64.00 ,5,Mutual Water Company,No Data,No data,Board of Directors,$935 ,0,0,0,0,0,0,T2,T2,Not At-Risk,0,SWP,http://www.eldoradowater.org/,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2376&tinwsys_st_code=CA&wsnumber=CA1900803
CA1910173,"WHITTIER-CITY, WATER DEPT.","49,954","11,370","$69,896 ",$64.23 ,5,City/Municipal,Municipal Election,2022,City Council,"$3,402 ",0,0,1,0,0,4,T3,T4,Not In Risk Assessment,0,GW,https://www.cityofwhittier.org/government/public-works/water,https://drinc.ca.gov/ear/CCR/CCRC2019CA1910173.pdf
CA1900563,"SUNDALE MUTUAL WATER COMPANY A, B","1,100",330,"$54,066 ",$65.00 ,5,Mutual Water Company,No Data,No data,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,None,T2,Not At-Risk,0,GW,https://sundalemutual.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1900563.pdf
CA1910223,GSWC-SOUTH SAN GABRIEL,"27,891","4,950","$53,181 ",$65.13 ,5,Investor Owned Utility,Appointment,No data,Board of Directors,  No Compensation Data  ,0,1,1,0,0,6,T2,T3,Not In Risk Assessment,0,SWP,https://www.gswater.com/san-gabriel,https://drinc.ca.gov/ear/CCR/CCR2019CA1910223.pdf
CA1910212,GSWC-SOUTH ARCADIA,"27,030","7,485","$77,746 ",$65.13 ,5,Investor Owned Utility,Appointment,No data,Board of Directors,  No Compensation Data  ,0,1,1,0,0,7,T2,T3,Not In Risk Assessment,0,GW,https://www.gswater.com/san-gabriel,https://drinc.ca.gov/ear/CCR/CCR2019CA1910212.pdf
CA1910142,GSWC-SAN DIMAS,"55,092","16,031","$84,625 ",$65.13 ,5,Investor Owned Utility,Appointment,No data,Board of Directors,  No Compensation Data  ,0,1,1,0,0,7,T2,T3,Not In Risk Assessment,0,SWP,https://www.gswater.com/san-dimas,https://drinc.ca.gov/ear/CCR/CCR2019CA1910142.pdf
CA1910024,GSWC - CLAREMONT,"37,423","11,085","$95,224 ",$65.13 ,5,Investor Owned Utility,Appointment,No data,Board of Directors,  No Compensation Data  ,0,1,1,0,0,7,T2,T3,Not In Risk Assessment,1,SWP,https://www.gswater.com/claremont,https://drinc.ca.gov/ear/CCR/CCR2019CA1910024.pdf
CA1910186,CAL-AM WATER COMPANY - DUARTE,"24,020","7,279","$68,701 ",$65.34 ,5,Investor Owned Utility,Stakeholder Election,2022,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,Any Level,T4,Not In Risk Assessment,0,GW,https://www.amwater.com/caaw/water-quality/water-quality-reports/duarte,https://drinc.ca.gov/ear/CCR/CCR2019CA1910186.pdf
CA1910043,"GLENDALE-CITY, WATER DEPT.","205,331","34,318","$71,313 ",$65.34 ,5,City/Municipal,Municipal Election,2022,City Council,"$17,160 ",0,0,0,0,0,5,T4,T4,Not In Risk Assessment,0,SWP,https://www.glendaleca.gov/government/departments/glendale-water-and-power,https://drinc.ca.gov/ear/CCR/CCR2019CA1910043.pdf
CA1910156,"BEVERLY HILLS-CITY, WATER DEPT.","46,001","10,087","$109,379 ",$67.33 ,5,City/Municipal,Municipal Election,2022,City Council,"$9,430 ",0,0,0,0,0,5,T4,T4,Not In Risk Assessment,0,SWP,https://www.beverlyhills.org/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910156.pdf
CA1910225,LAS VIRGENES MWD,"75,384","19,955","$128,289 ",$68.22 ,5,Special District,Municipal Election,No data,Board of Directors,  No Compensation Data  ,0,0,0,0,0,6,T4,T5,Not In Risk Assessment,0,SW,https://www.lvmwd.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910225.pdf
CA1910127,"COVINA-CITY, WATER DEPT.","33,300","8,504","$67,118 ",$68.27 ,5,City/Municipal,Municipal Election,2022,City Council,"$4,800 ",0,1,3,0,0,1,None,T3,Not In Risk Assessment,0,SWP,https://covinaca.gov/publicworks/page/water-supply,https://drinc.ca.gov/ear/CCR/CCR2019CA1910127.pdf
CA1910039,SAN GABRIEL VALLEY WATER CO.-EL MONTE,"260,500","46,346","$65,030 ",$68.30 ,5,Investor Owned Utility,No Data,No data,N/A,  No Compensation Data  ,0,0,0,0,0,0,T5,T4,Not In Risk Assessment,0,GW,https://www.sgvwater.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910039.pdf
CA1910189,SAN GABRIEL VALLEY WATER CO.-MONTEBELLO,"8,641","1,581","$79,462 ",$68.46 ,5,Investor Owned Utility,No Data,No data,N/A,  No Compensation Data  ,0,1,0,0,0,0,None,T4,Not At-Risk,0,GWP,https://www.sgvwater.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910189.pdf
